Symbol,Period,Metric,Value
MA,2017-03,Goodwill and Intangible Assets,2477
MA,2017-03,Investments Non-Current,0
MA,2017-03,Tax Assets,313
MA,2017-03,Assets Non-Current,5685
MA,2017-03,Total Assets,18570
MA,2017-03,Trade and Non-Trade Payables,680
MA,2017-03,Debt Current,0
MA,2017-03,Current Liabilities,7095
MA,2017-03,Debt Non-Current,5216
MA,2017-03,Deferred Revenue,0
MA,2017-03,Tax Liabilities,83
MA,2017-03,Deposit Liabilities,984
MA,2017-03,Liabilities Non-Current,5837
MA,2017-03,Total Liabilities,12932
MA,2017-03,Accumulated Other Comprehensive Income,-863
MA,2017-03,Accumulated Retained Earnings (Deficit),20263
MA,2017-03,Shareholders Equity,5611
MA,2017-03,Investments,1654
MA,2017-03,Total Debt,5216
MA,2017-03,Cash and Short Term Investments,8644
MA,2016-12,Cash and Equivalents,7712
MA,2016-12,Investments Current,1614
MA,2016-12,Trade and Non-Trade Receivables,1416
MA,2016-12,Inventory,0
MA,2016-12,Current Assets,13228
MA,2016-12,Property  Plant & Equipment Net,733
MA,2016-12,Goodwill and Intangible Assets,2478
MA,2016-12,Investments Non-Current,0
MA,2016-12,Tax Assets,307
MA,2016-12,Assets Non-Current,5447
MA,2016-12,Total Assets,18675
MA,2016-12,Trade and Non-Trade Payables,609
MA,2016-12,Debt Current,0
MA,2016-12,Current Liabilities,7206
MA,2016-12,Debt Non-Current,5180
MA,2016-12,Deferred Revenue,0
MA,2016-12,Tax Liabilities,81
MA,2016-12,Deposit Liabilities,991
MA,2016-12,Liabilities Non-Current,5785
MA,2016-12,Total Liabilities,12991
MA,2016-12,Accumulated Other Comprehensive Income,-924
MA,2016-12,Accumulated Retained Earnings (Deficit),19418
MA,2016-12,Shareholders Equity,5656
MA,2016-12,Investments,1614
MA,2016-12,Total Debt,5180
MA,2016-12,Cash and Short Term Investments,9326
MA,2016-09,Cash and Equivalents,6202
MA,2016-09,Investments Current,1774
MA,2016-09,Trade and Non-Trade Receivables,1298
MA,2016-09,Inventory,0
MA,2016-09,Current Assets,11776
MA,2016-09,Property  Plant & Equipment Net,698
MA,2016-09,Goodwill and Intangible Assets,2561
MA,2016-09,Investments Non-Current,0
MA,2016-09,Tax Assets,327
MA,2016-09,Assets Non-Current,5547
MA,2016-09,Total Assets,17323
MA,2016-09,Trade and Non-Trade Payables,437
MA,2016-09,Debt Current,0
MA,2016-09,Current Liabilities,7121
MA,2016-09,Debt Non-Current,3326
MA,2016-09,Deferred Revenue,0
MA,2016-09,Tax Liabilities,82
MA,2016-09,Deposit Liabilities,997
MA,2016-09,Liabilities Non-Current,3953
MA,2016-09,Total Liabilities,11074
MA,2016-09,Accumulated Other Comprehensive Income,-717
MA,2016-09,Accumulated Retained Earnings (Deficit),18722
MA,2016-09,Shareholders Equity,6219
MA,2016-09,Investments,1774
MA,2016-09,Total Debt,3326
MA,2016-09,Cash and Short Term Investments,7976
MA,2016-06,Cash and Equivalents,6112
MA,2016-06,Investments Current,1271
MA,2016-06,Trade and Non-Trade Receivables,1203
MA,2016-06,Inventory,0
MA,2016-06,Current Assets,10998
MA,2016-06,Property  Plant & Equipment Net,680
MA,2016-06,Goodwill and Intangible Assets,2596
MA,2016-06,Investments Non-Current,0
MA,2016-06,Tax Assets,337
MA,2016-06,Assets Non-Current,5284
MA,2016-06,Total Assets,16282
MA,2016-06,Trade and Non-Trade Payables,452
MA,2016-06,Debt Current,0
MA,2016-06,Current Liabilities,6462
MA,2016-06,Debt Non-Current,3306
MA,2016-06,Deferred Revenue,0
MA,2016-06,Tax Liabilities,83
MA,2016-06,Deposit Liabilities,936
MA,2016-06,Liabilities Non-Current,3951
MA,2016-06,Total Liabilities,10413
MA,2016-06,Accumulated Other Comprehensive Income,-697
MA,2016-06,Accumulated Retained Earnings (Deficit),17746
MA,2016-06,Shareholders Equity,5837
MA,2016-06,Investments,1271
MA,2016-06,Total Debt,3306
MA,2016-06,Cash and Short Term Investments,7383
MA,2016-03,Cash and Equivalents,5831
MA,2016-03,Investments Current,1314
MA,2016-03,Trade and Non-Trade Receivables,1186
MA,2016-03,Inventory,0
MA,2016-03,Current Assets,10606
MA,2016-03,Property  Plant & Equipment Net,669
MA,2016-03,Goodwill and Intangible Assets,2674
MA,2016-03,Investments Non-Current,0
MA,2016-03,Tax Assets,353
MA,2016-03,Assets Non-Current,5299
MA,2016-03,Total Assets,15905
MA,2016-03,Trade and Non-Trade Payables,409
MA,2016-03,Debt Current,0
MA,2016-03,Current Liabilities,6440
MA,2016-03,Debt Non-Current,3333
MA,2016-03,Deferred Revenue,0
MA,2016-03,Tax Liabilities,76
MA,2016-03,Deposit Liabilities,937
MA,2016-03,Liabilities Non-Current,3954
MA,2016-03,Total Liabilities,10394
MA,2016-03,Accumulated Other Comprehensive Income,-620
MA,2016-03,Accumulated Retained Earnings (Deficit),16972
MA,2016-03,Shareholders Equity,5479
MA,2016-03,Investments,1314
MA,2016-03,Total Debt,3333
MA,2016-03,Cash and Short Term Investments,7145
MA,2015-12,Cash and Equivalents,6642
MA,2015-12,Investments Current,991
MA,2015-12,Trade and Non-Trade Receivables,1079
MA,2015-12,Inventory,0
MA,2015-12,Current Assets,10984
MA,2015-12,Property  Plant & Equipment Net,675
MA,2015-12,Goodwill and Intangible Assets,2694
MA,2015-12,Investments Non-Current,0
MA,2015-12,Tax Assets,317
MA,2015-12,Assets Non-Current,5266
MA,2015-12,Total Assets,16250
MA,2015-12,Trade and Non-Trade Payables,472
MA,2015-12,Debt Current,0
MA,2015-12,Current Liabilities,6269
MA,2015-12,Debt Non-Current,3268
MA,2015-12,Deferred Revenue,0
MA,2015-12,Tax Liabilities,79
MA,2015-12,Deposit Liabilities,895
MA,2015-12,Liabilities Non-Current,3919
MA,2015-12,Total Liabilities,10188
MA,2015-12,Accumulated Other Comprehensive Income,-676
MA,2015-12,Accumulated Retained Earnings (Deficit),16222
MA,2015-12,Shareholders Equity,6028
MA,2015-12,Investments,991
MA,2015-12,Total Debt,3268
MA,2015-12,Cash and Short Term Investments,7633
MA,2015-09,Cash and Equivalents,4748
MA,2015-09,Investments Current,1232
MA,2015-09,Trade and Non-Trade Receivables,1081
MA,2015-09,Inventory,0
MA,2015-09,Current Assets,9625
MA,2015-09,Property  Plant & Equipment Net,641
MA,2015-09,Goodwill and Intangible Assets,2727
MA,2015-09,Investments Non-Current,0
MA,2015-09,Tax Assets,290
MA,2015-09,Assets Non-Current,5009
MA,2015-09,Total Assets,14634
MA,2015-09,Trade and Non-Trade Payables,381
MA,2015-09,Debt Current,0
MA,2015-09,Current Liabilities,5943
MA,2015-09,Debt Non-Current,1495
MA,2015-09,Deferred Revenue,0
MA,2015-09,Tax Liabilities,95
MA,2015-09,Deposit Liabilities,871
MA,2015-09,Liabilities Non-Current,2393
MA,2015-09,Total Liabilities,8336
MA,2015-09,Accumulated Other Comprehensive Income,-536
MA,2015-09,Accumulated Retained Earnings (Deficit),15543
MA,2015-09,Shareholders Equity,6267
MA,2015-09,Investments,1232
MA,2015-09,Total Debt,1495
MA,2015-09,Cash and Short Term Investments,5980
MA,2015-06,Cash and Equivalents,4361
MA,2015-06,Investments Current,1716
MA,2015-06,Trade and Non-Trade Receivables,1128
MA,2015-06,Inventory,0
MA,2015-06,Current Assets,10217
MA,2015-06,Property  Plant & Equipment Net,632
MA,2015-06,Goodwill and Intangible Assets,2802
MA,2015-06,Investments Non-Current,0
MA,2015-06,Tax Assets,326
MA,2015-06,Assets Non-Current,5055
MA,2015-06,Total Assets,15272
MA,2015-06,Trade and Non-Trade Payables,481
MA,2015-06,Debt Current,0
MA,2015-06,Current Liabilities,6476
MA,2015-06,Debt Non-Current,1495
MA,2015-06,Deferred Revenue,0
MA,2015-06,Tax Liabilities,101
MA,2015-06,Deposit Liabilities,1000
MA,2015-06,Liabilities Non-Current,2360
MA,2015-06,Total Liabilities,8836
MA,2015-06,Accumulated Other Comprehensive Income,-493
MA,2015-06,Accumulated Retained Earnings (Deficit),14746
MA,2015-06,Shareholders Equity,6404
MA,2015-06,Investments,1716
MA,2015-06,Total Debt,1495
MA,2015-06,Cash and Short Term Investments,6077
MA,2015-03,Cash and Equivalents,5160
MA,2015-03,Investments Current,1589
MA,2015-03,Trade and Non-Trade Receivables,1072
MA,2015-03,Inventory,0
MA,2015-03,Current Assets,10348
MA,2015-03,Property  Plant & Equipment Net,602
MA,2015-03,Goodwill and Intangible Assets,2117
MA,2015-03,Investments Non-Current,0
MA,2015-03,Tax Assets,349
MA,2015-03,Assets Non-Current,4285
MA,2015-03,Total Assets,14633
MA,2015-03,Trade and Non-Trade Payables,406
MA,2015-03,Debt Current,0
MA,2015-03,Current Liabilities,5937
MA,2015-03,Debt Non-Current,1495
MA,2015-03,Deferred Revenue,0
MA,2015-03,Tax Liabilities,102
MA,2015-03,Deposit Liabilities,953
MA,2015-03,Liabilities Non-Current,2362
MA,2015-03,Total Liabilities,8299
MA,2015-03,Accumulated Other Comprehensive Income,-639
MA,2015-03,Accumulated Retained Earnings (Deficit),14006
MA,2015-03,Shareholders Equity,6301
MA,2015-03,Investments,1589
MA,2015-03,Total Debt,1495
MA,2015-03,Cash and Short Term Investments,6749
MA,2014-12,Cash and Equivalents,6087
MA,2014-12,Investments Current,1238
MA,2014-12,Trade and Non-Trade Receivables,1109
MA,2014-12,Inventory,0
MA,2014-12,Current Assets,10997
MA,2014-12,Property  Plant & Equipment Net,615
MA,2014-12,Goodwill and Intangible Assets,2236
MA,2014-12,Investments Non-Current,0
MA,2014-12,Tax Assets,396
MA,2014-12,Assets Non-Current,4332
MA,2014-12,Total Assets,15329
MA,2014-12,Trade and Non-Trade Payables,419
MA,2014-12,Debt Current,0
MA,2014-12,Current Liabilities,6222
MA,2014-12,Debt Non-Current,1494
MA,2014-12,Deferred Revenue,0
MA,2014-12,Tax Liabilities,115
MA,2014-12,Deposit Liabilities,950
MA,2014-12,Liabilities Non-Current,2283
MA,2014-12,Total Liabilities,8505
MA,2014-12,Accumulated Other Comprehensive Income,-260
MA,2014-12,Accumulated Retained Earnings (Deficit),13169
MA,2014-12,Shareholders Equity,6790
MA,2014-12,Investments,1238
MA,2014-12,Total Debt,1494
MA,2014-12,Cash and Short Term Investments,7325
MA,2014-09,Cash and Equivalents,5415
MA,2014-09,Investments Current,1857
MA,2014-09,Trade and Non-Trade Receivables,1071
MA,2014-09,Inventory,0
MA,2014-09,Current Assets,10956
MA,2014-09,Property  Plant & Equipment Net,553
MA,2014-09,Goodwill and Intangible Assets,2161
MA,2014-09,Investments Non-Current,0
MA,2014-09,Tax Assets,385
MA,2014-09,Assets Non-Current,3703
MA,2014-09,Total Assets,14659
MA,2014-09,Trade and Non-Trade Payables,319
MA,2014-09,Debt Current,0
MA,2014-09,Current Liabilities,5849
MA,2014-09,Debt Non-Current,1494
MA,2014-09,Deferred Revenue,0
MA,2014-09,Tax Liabilities,119
MA,2014-09,Deposit Liabilities,953
MA,2014-09,Liabilities Non-Current,2262
MA,2014-09,Total Liabilities,8111
MA,2014-09,Accumulated Other Comprehensive Income,-92
MA,2014-09,Accumulated Retained Earnings (Deficit),12553
MA,2014-09,Shareholders Equity,6501
MA,2014-09,Investments,1857
MA,2014-09,Total Debt,1494
MA,2014-09,Cash and Short Term Investments,7272
MA,2014-06,Cash and Equivalents,3796
MA,2014-06,Investments Current,2836
MA,2014-06,Trade and Non-Trade Receivables,1134
MA,2014-06,Inventory,0
MA,2014-06,Current Assets,10577
MA,2014-06,Property  Plant & Equipment Net,539
MA,2014-06,Goodwill and Intangible Assets,2286
MA,2014-06,Investments Non-Current,0
MA,2014-06,Tax Assets,373
MA,2014-06,Assets Non-Current,3798
MA,2014-06,Total Assets,14375
MA,2014-06,Trade and Non-Trade Payables,420
MA,2014-06,Debt Current,0
MA,2014-06,Current Liabilities,5790
MA,2014-06,Debt Non-Current,1494
MA,2014-06,Deferred Revenue,0
MA,2014-06,Tax Liabilities,125
MA,2014-06,Deposit Liabilities,918
MA,2014-06,Liabilities Non-Current,2271
MA,2014-06,Total Liabilities,8061
MA,2014-06,Accumulated Other Comprehensive Income,188
MA,2014-06,Accumulated Retained Earnings (Deficit),11666
MA,2014-06,Shareholders Equity,6266
MA,2014-06,Investments,2836
MA,2014-06,Total Debt,1494
MA,2014-06,Cash and Short Term Investments,6632
MA,2014-03,Cash and Equivalents,4932
MA,2014-03,Investments Current,2543
MA,2014-03,Trade and Non-Trade Receivables,995
MA,2014-03,Inventory,0
MA,2014-03,Current Assets,11342
MA,2014-03,Property  Plant & Equipment Net,528
MA,2014-03,Goodwill and Intangible Assets,2009
MA,2014-03,Investments Non-Current,0
MA,2014-03,Tax Assets,369
MA,2014-03,Assets Non-Current,3460
MA,2014-03,Total Assets,14802
MA,2014-03,Trade and Non-Trade Payables,297
MA,2014-03,Debt Current,0
MA,2014-03,Current Liabilities,5994
MA,2014-03,Debt Non-Current,1494
MA,2014-03,Deferred Revenue,0
MA,2014-03,Tax Liabilities,117
MA,2014-03,Deposit Liabilities,913
MA,2014-03,Liabilities Non-Current,2230
MA,2014-03,Total Liabilities,8224
MA,2014-03,Accumulated Other Comprehensive Income,180
MA,2014-03,Accumulated Retained Earnings (Deficit),10861
MA,2014-03,Shareholders Equity,6567
MA,2014-03,Investments,2543
MA,2014-03,Total Debt,1494
MA,2014-03,Cash and Short Term Investments,7475
MA,2013-12,Cash and Equivalents,4510
MA,2013-12,Investments Current,2696
MA,2013-12,Trade and Non-Trade Receivables,966
MA,2013-12,Inventory,0
MA,2013-12,Current Assets,10950
MA,2013-12,Property  Plant & Equipment Net,526
MA,2013-12,Goodwill and Intangible Assets,1794
MA,2013-12,Investments Non-Current,0
MA,2013-12,Tax Assets,303
MA,2013-12,Assets Non-Current,3292
MA,2013-12,Total Assets,14242
MA,2013-12,Trade and Non-Trade Payables,338
MA,2013-12,Debt Current,0
MA,2013-12,Current Liabilities,6032
MA,2013-12,Debt Non-Current,0
MA,2013-12,Deferred Revenue,0
MA,2013-12,Tax Liabilities,117
MA,2013-12,Deposit Liabilities,911
MA,2013-12,Liabilities Non-Current,715
MA,2013-12,Total Liabilities,6747
MA,2013-12,Accumulated Other Comprehensive Income,178
MA,2013-12,Accumulated Retained Earnings (Deficit),10121
MA,2013-12,Shareholders Equity,7484
MA,2013-12,Investments,2696
MA,2013-12,Total Debt,0
MA,2013-12,Cash and Short Term Investments,7206
MA,2013-09,Cash and Equivalents,4291
MA,2013-09,Investments Current,2594
MA,2013-09,Trade and Non-Trade Receivables,990
MA,2013-09,Inventory,0
MA,2013-09,Current Assets,10559
MA,2013-09,Property  Plant & Equipment Net,474
MA,2013-09,Goodwill and Intangible Assets,1756
MA,2013-09,Investments Non-Current,0
MA,2013-09,Tax Assets,211
MA,2013-09,Assets Non-Current,3171
MA,2013-09,Total Assets,13730
MA,2013-09,Trade and Non-Trade Payables,280
MA,2013-09,Debt Current,0
MA,2013-09,Current Liabilities,5420
MA,2013-09,Debt Non-Current,0
MA,2013-09,Deferred Revenue,0
MA,2013-09,Tax Liabilities,93
MA,2013-09,Deposit Liabilities,878
MA,2013-09,Liabilities Non-Current,642
MA,2013-09,Total Liabilities,6062
MA,2013-09,Accumulated Other Comprehensive Income,120
MA,2013-09,Accumulated Retained Earnings (Deficit),9630
MA,2013-09,Shareholders Equity,7657
MA,2013-09,Investments,2594
MA,2013-09,Total Debt,0
MA,2013-09,Cash and Short Term Investments,6885
MA,2013-06,Cash and Equivalents,3188
MA,2013-06,Investments Current,2742
MA,2013-06,Trade and Non-Trade Receivables,949
MA,2013-06,Inventory,0
MA,2013-06,Current Assets,8962
MA,2013-06,Property  Plant & Equipment Net,471
MA,2013-06,Goodwill and Intangible Assets,1687
MA,2013-06,Investments Non-Current,0
MA,2013-06,Tax Assets,211
MA,2013-06,Assets Non-Current,3059
MA,2013-06,Total Assets,12021
MA,2013-06,Trade and Non-Trade Payables,259
MA,2013-06,Debt Current,0
MA,2013-06,Current Liabilities,4327
MA,2013-06,Debt Non-Current,0
MA,2013-06,Deferred Revenue,0
MA,2013-06,Tax Liabilities,98
MA,2013-06,Deposit Liabilities,840
MA,2013-06,Liabilities Non-Current,665
MA,2013-06,Total Liabilities,4992
MA,2013-06,Accumulated Other Comprehensive Income,-15
MA,2013-06,Accumulated Retained Earnings (Deficit),8823
MA,2013-06,Shareholders Equity,7018
MA,2013-06,Investments,2742
MA,2013-06,Total Debt,0
MA,2013-06,Cash and Short Term Investments,5930
MA,2013-03,Cash and Equivalents,2796
MA,2013-03,Investments Current,3036
MA,2013-03,Trade and Non-Trade Receivables,941
MA,2013-03,Inventory,0
MA,2013-03,Current Assets,8783
MA,2013-03,Property  Plant & Equipment Net,468
MA,2013-03,Goodwill and Intangible Assets,1679
MA,2013-03,Investments Non-Current,0
MA,2013-03,Tax Assets,187
MA,2013-03,Assets Non-Current,3026
MA,2013-03,Total Assets,11809
MA,2013-03,Trade and Non-Trade Payables,262
MA,2013-03,Debt Current,0
MA,2013-03,Current Liabilities,4414
MA,2013-03,Debt Non-Current,0
MA,2013-03,Deferred Revenue,0
MA,2013-03,Tax Liabilities,99
MA,2013-03,Deposit Liabilities,812
MA,2013-03,Liabilities Non-Current,639
MA,2013-03,Total Liabilities,5053
MA,2013-03,Accumulated Other Comprehensive Income,-50
MA,2013-03,Accumulated Retained Earnings (Deficit),8047
MA,2013-03,Shareholders Equity,6743
MA,2013-03,Investments,3036
MA,2013-03,Total Debt,0
MA,2013-03,Cash and Short Term Investments,5832
MA,2012-12,Cash and Equivalents,2829
MA,2012-12,Investments Current,2951
MA,2012-12,Trade and Non-Trade Receivables,925
MA,2012-12,Inventory,0
MA,2012-12,Current Assets,9357
MA,2012-12,Property  Plant & Equipment Net,472
MA,2012-12,Goodwill and Intangible Assets,1764
MA,2012-12,Investments Non-Current,0
MA,2012-12,Tax Assets,188
MA,2012-12,Assets Non-Current,3105
MA,2012-12,Total Assets,12462
MA,2012-12,Trade and Non-Trade Payables,357
MA,2012-12,Debt Current,0
MA,2012-12,Current Liabilities,4906
MA,2012-12,Debt Non-Current,0
MA,2012-12,Deferred Revenue,0
MA,2012-12,Tax Liabilities,104
MA,2012-12,Deposit Liabilities,777
MA,2012-12,Liabilities Non-Current,627
MA,2012-12,Total Liabilities,5533
MA,2012-12,Accumulated Other Comprehensive Income,61
MA,2012-12,Accumulated Retained Earnings (Deficit),7354
MA,2012-12,Shareholders Equity,6917
MA,2012-12,Investments,2951
MA,2012-12,Total Debt,0
MA,2012-12,Cash and Short Term Investments,5780
MA,2012-09,Cash and Equivalents,3820
MA,2012-09,Investments Current,2594
MA,2012-09,Trade and Non-Trade Receivables,912
MA,2012-09,Inventory,0
MA,2012-09,Current Assets,9072
MA,2012-09,Property  Plant & Equipment Net,465
MA,2012-09,Goodwill and Intangible Assets,1763
MA,2012-09,Investments Non-Current,0
MA,2012-09,Tax Assets,457
MA,2012-09,Assets Non-Current,3048
MA,2012-09,Total Assets,12120
MA,2012-09,Trade and Non-Trade Payables,319
MA,2012-09,Debt Current,0
MA,2012-09,Current Liabilities,4548
MA,2012-09,Debt Non-Current,0
MA,2012-09,Deferred Revenue,0
MA,2012-09,Tax Liabilities,103
MA,2012-09,Deposit Liabilities,775
MA,2012-09,Liabilities Non-Current,648
MA,2012-09,Total Liabilities,5196
MA,2012-09,Accumulated Other Comprehensive Income,34
MA,2012-09,Accumulated Retained Earnings (Deficit),6786
MA,2012-09,Shareholders Equity,6912
MA,2012-09,Investments,2594
MA,2012-09,Total Debt,0
MA,2012-09,Cash and Short Term Investments,6414
MA,2012-06,Cash and Equivalents,3879
MA,2012-06,Investments Current,1803
MA,2012-06,Trade and Non-Trade Receivables,844
MA,2012-06,Inventory,0
MA,2012-06,Current Assets,8283
MA,2012-06,Property  Plant & Equipment Net,458
MA,2012-06,Goodwill and Intangible Assets,1665
MA,2012-06,Investments Non-Current,0
MA,2012-06,Tax Assets,474
MA,2012-06,Assets Non-Current,2957
MA,2012-06,Total Assets,11240
MA,2012-06,Trade and Non-Trade Payables,330
MA,2012-06,Debt Current,0
MA,2012-06,Current Liabilities,4307
MA,2012-06,Debt Non-Current,0
MA,2012-06,Deferred Revenue,0
MA,2012-06,Tax Liabilities,105
MA,2012-06,Deposit Liabilities,726
MA,2012-06,Liabilities Non-Current,657
MA,2012-06,Total Liabilities,4964
MA,2012-06,Accumulated Other Comprehensive Income,-47
MA,2012-06,Accumulated Retained Earnings (Deficit),6052
MA,2012-06,Shareholders Equity,6265
MA,2012-06,Investments,1803
MA,2012-06,Total Debt,0
MA,2012-06,Cash and Short Term Investments,5682
MA,2012-03,Cash and Equivalents,4333
MA,2012-03,Investments Current,1457
MA,2012-03,Trade and Non-Trade Receivables,812
MA,2012-03,Inventory,0
MA,2012-03,Current Assets,8113
MA,2012-03,Property  Plant & Equipment Net,450
MA,2012-03,Goodwill and Intangible Assets,1724
MA,2012-03,Investments Non-Current,0
MA,2012-03,Tax Assets,440
MA,2012-03,Assets Non-Current,3018
MA,2012-03,Total Assets,11131
MA,2012-03,Trade and Non-Trade Payables,274
MA,2012-03,Debt Current,0
MA,2012-03,Current Liabilities,4092
MA,2012-03,Debt Non-Current,0
MA,2012-03,Deferred Revenue,0
MA,2012-03,Tax Liabilities,112
MA,2012-03,Deposit Liabilities,649
MA,2012-03,Liabilities Non-Current,660
MA,2012-03,Total Liabilities,4752
MA,2012-03,Accumulated Other Comprehensive Income,78
MA,2012-03,Accumulated Retained Earnings (Deficit),5389
MA,2012-03,Shareholders Equity,6371
MA,2012-03,Investments,1457
MA,2012-03,Total Debt,0
MA,2012-03,Cash and Short Term Investments,5790
MA,2011-12,Cash and Equivalents,4370
MA,2011-12,Investments Current,1215
MA,2011-12,Trade and Non-Trade Receivables,808
MA,2011-12,Inventory,0
MA,2011-12,Current Assets,7741
MA,2011-12,Property  Plant & Equipment Net,449
MA,2011-12,Goodwill and Intangible Assets,1679
MA,2011-12,Investments Non-Current,0
MA,2011-12,Tax Assets,431
MA,2011-12,Assets Non-Current,2952
MA,2011-12,Total Assets,10693
MA,2011-12,Trade and Non-Trade Payables,360
MA,2011-12,Debt Current,0
MA,2011-12,Current Liabilities,4217
MA,2011-12,Debt Non-Current,0
MA,2011-12,Deferred Revenue,0
MA,2011-12,Tax Liabilities,113
MA,2011-12,Deposit Liabilities,636
MA,2011-12,Liabilities Non-Current,599
MA,2011-12,Total Liabilities,4816
MA,2011-12,Accumulated Other Comprehensive Income,-2
MA,2011-12,Accumulated Retained Earnings (Deficit),4745
MA,2011-12,Shareholders Equity,5868
MA,2011-12,Investments,1215
MA,2011-12,Total Debt,0
MA,2011-12,Cash and Short Term Investments,5585
MA,2011-09,Cash and Equivalents,4389
MA,2011-09,Investments Current,639
MA,2011-09,Trade and Non-Trade Receivables,763
MA,2011-09,Inventory,0
MA,2011-09,Current Assets,6753
MA,2011-09,Property  Plant & Equipment Net,450
MA,2011-09,Goodwill and Intangible Assets,1709
MA,2011-09,Investments Non-Current,114
MA,2011-09,Tax Assets,118
MA,2011-09,Assets Non-Current,2921
MA,2011-09,Total Assets,9674
MA,2011-09,Trade and Non-Trade Payables,289
MA,2011-09,Debt Current,0
MA,2011-09,Current Liabilities,3105
MA,2011-09,Debt Non-Current,0
MA,2011-09,Deferred Revenue,0
MA,2011-09,Tax Liabilities,125
MA,2011-09,Deposit Liabilities,636
MA,2011-09,Liabilities Non-Current,587
MA,2011-09,Total Liabilities,3692
MA,2011-09,Accumulated Other Comprehensive Income,104
MA,2011-09,Accumulated Retained Earnings (Deficit),4745
MA,2011-09,Shareholders Equity,5972
MA,2011-09,Investments,753
MA,2011-09,Total Debt,0
MA,2011-09,Cash and Short Term Investments,5028
MA,2011-06,Cash and Equivalents,3372
MA,2011-06,Investments Current,840
MA,2011-06,Trade and Non-Trade Receivables,713
MA,2011-06,Inventory,0
MA,2011-06,Current Assets,6011
MA,2011-06,Property  Plant & Equipment Net,454
MA,2011-06,Goodwill and Intangible Assets,1768
MA,2011-06,Investments Non-Current,117
MA,2011-06,Tax Assets,157
MA,2011-06,Assets Non-Current,3014
MA,2011-06,Total Assets,9025
MA,2011-06,Trade and Non-Trade Payables,336
MA,2011-06,Debt Current,0
MA,2011-06,Current Liabilities,2964
MA,2011-06,Debt Non-Current,0
MA,2011-06,Deferred Revenue,0
MA,2011-06,Tax Liabilities,130
MA,2011-06,Deposit Liabilities,608
MA,2011-06,Liabilities Non-Current,580
MA,2011-06,Total Liabilities,3544
MA,2011-06,Accumulated Other Comprehensive Income,247
MA,2011-06,Accumulated Retained Earnings (Deficit),4047
MA,2011-06,Shareholders Equity,5470
MA,2011-06,Investments,957
MA,2011-06,Total Debt,0
MA,2011-06,Cash and Short Term Investments,4212
MA,2011-03,Cash and Equivalents,3530
MA,2011-03,Investments Current,985
MA,2011-03,Trade and Non-Trade Receivables,642
MA,2011-03,Inventory,0
MA,2011-03,Current Assets,6073
MA,2011-03,Property  Plant & Equipment Net,436
MA,2011-03,Goodwill and Intangible Assets,1249
MA,2011-03,Investments Non-Current,129
MA,2011-03,Tax Assets,187
MA,2011-03,Assets Non-Current,2429
MA,2011-03,Total Assets,8502
MA,2011-03,Trade and Non-Trade Payables,283
MA,2011-03,Debt Current,0
MA,2011-03,Current Liabilities,2791
MA,2011-03,Debt Non-Current,0
MA,2011-03,Deferred Revenue,0
